37,2017-08-16 20:08:11.950171,IMU,"(-20.0, 11.0, 238.0, -26.0, 45.0, -3.0, -228.0, -83.0, 439.0)"
38,2017-08-16 20:08:12.034171,IMU,"(-20.0, 11.0, 237.0, -26.0, 44.0, -4.0, -229.0, -81.0, 438.0)"
39,2017-08-16 20:08:12.115170,IMU,"(-19.0, 10.0, 236.0, -27.0, 44.0, -5.0, -229.0, -81.0, 437.0)"
40,2017-08-16 20:08:12.203172,IMU,"(-19.0, 10.0, 238.0, -26.0, 44.0, -3.0, -227.0, -81.0, 437.0)"
41,2017-08-16 20:08:12.276171,IMU,"(-19.0, 12.0, 238.0, -27.0, 45.0, -3.0, -228.0, -82.0, 439.0)"
42,2017-08-16 20:08:12.324170,GPS,"(21.986576080322312, 50.018436431884766, 223.3000030517578)"
43,2017-08-16 20:08:12.412170,IMU,"(-20.0, 11.0, 237.0, -27.0, 44.0, -4.0, -227.0, -82.0, 435.0)"
44,2017-08-16 20:08:12.500174,IMU,"(-19.0, 11.0, 237.0, -26.0, 44.0, -3.0, -228.0, -80.0, 435.0)"
45,2017-08-16 20:08:12.577173,IMU,"(-20.0, 11.0, 237.0, -26.0, 43.0, -3.0, -227.0, -82.0, 439.0)"
46,2017-08-16 20:08:12.657170,IMU,"(-18.0, 11.0, 237.0, -27.0, 44.0, -4.0, -229.0, -84.0, 438.0)"
47,2017-08-16 20:08:12.739171,IMU,"(-20.0, 11.0, 237.0, -27.0, 44.0, -3.0, -228.0, -80.0, 437.0)"
48,2017-08-16 20:08:12.819172,IMU,"(-18.0, 10.0, 237.0, -27.0, 44.0, -2.0, -229.0, -81.0, 439.0)"
49,2017-08-16 20:08:12.897171,IMU,"(-18.0, 11.0, 238.0, -27.0, 45.0, -3.0, -229.0, -83.0, 438.0)"
50,2017-08-16 20:08:12.978172,IMU,"(-19.0, 11.0, 236.0, -27.0, 44.0, -4.0, -228.0, -77.0, 439.0)"
51,2017-08-16 20:08:13.061171,IMU,"(-20.0, 11.0, 238.0, -27.0, 44.0, -3.0, -231.0, -79.0, 437.0)"
52,2017-08-16 20:08:13.140171,IMU,"(-20.0, 11.0, 238.0, -27.0, 44.0, -3.0, -455.0, -81.2509765625, 437.0)"
53,2017-08-16 20:08:13.219172,IMU,"(-19.0, 11.0, 237.0, -27.0, 44.0, -3.0, -229.0, -79.0, 437.0)"
54,2017-08-16 20:08:13.301171,IMU,"(-20.0, 5.072854620270127e+19, 1.3039922989621018e-40, 6.952682460594012e-41, 2.37436011795197e-41, 6.89663052202102e-41, 7.009294918552735e-41, 6.981549208959104e-41, 0.000489292258862406)"
55,2017-08-16 20:08:13.378170,IMU,"(-19.0, 11.0, 236.0, -27.0, 44.0, -4.0, -228.0, -81.0, 437.0)"
56,2017-08-16 20:08:13.460171,IMU,"(-18.0, 10.0, 237.0, -27.0, 44.0, -4.0, -230.0, -78.0, 434.0)"
57,2017-08-16 20:08:13.540170,IMU,"(-19.0, 11.0, 237.0, -27.0, 44.0, -4.0, -229.0, -6.4375, 2.117750419472486e-14)"
58,2017-08-16 20:08:13.620171,IMU,"(-19.0, 11.0, 237.0, -26.0, 44.0, -4.0, -226.0, -83.0, 438.0)"
59,2017-08-16 20:08:13.668172,GPS,"(21.98657417297368, 50.018436431884766, 223.60000610351562)"
